Grapheme	FREQUENCY	IPA	UNICODE
k	412	k	U+006b
a	407	a	U+0061
ʔ	393	ʔ	U+0294
ə	312	ə	U+0259
h	245	h	U+0068
y	235	j	U+0079
n	233	n	U+006e
u	226	u	U+0075
t	224	t	U+0074
ts	223	ts	U+0074 U+0073
o	216	o	U+006f
p	188	p	U+0070
m	171	m	U+006d
i	151	i	U+0069
e	128	e	U+0065
-	101	+	U+002d
š	95	ʃ	U+0161
w	80	w	U+0077
aa	68	aː	U+0061 U+0061
oo	46	oː	U+006f U+006f
s	42	s	U+0073
əə	40	əː	U+0259 U+0259
č	37	tʃ	U+010d
ŋ	36	ŋ	U+014b
d	24	d	U+0064
v	22	v	U+0076
ñ	22	ɲ	U+00f1
b	19	b	U+0062
g	19	g	U+0067
uu	17	uː	U+0075 U+0075
ii	11	iː	U+0069 U+0069
υ	10	υ/ʊ	U+03c5
æ	10	æ	U+00e6
ʔs	7	ʔ s	U+0294 U+0073
_	6	_	U+005f
ks	6	k s	U+006b U+0073
ʔh	6	ʔ h	U+0294 U+0068
ee	6	eː	U+0065 U+0065
ï	5	ɨ	U+00ef
hw	5	h w	U+0068 U+0077
υυ	4	υː/ʊː	U+03c5 U+03c5
kk	4	kː	U+006b U+006b
ïï	3	ïï/ɨː	U+00ef U+00ef
mh	2	m h	U+006d U+0068
r	2	r	U+0072
z	2	z	U+007a
ʔw	2	ʔʷ	U+0294 U+0077
ææ	1	æː	U+00e6 U+00e6
l	1	l	U+006c
tsts	1	tsː	U+0074 U+0073 U+0074 U+0073
υh	1	ʋ/ʊ h	U+03c5 U+0068
hs	1	h s	U+0068 U+0073
ʔsh	1	ʔ s h	U+0294 U+0073 U+0068
pp	1	pː	U+0070 U+0070
Y	1	Y/j	U+0059
ps	1	p s	U+0070 U+0073
c	1	c/tʃ	U+0063
.	1	NULL	U+002e
mɛts	1	m ɛ ts	
hɛy	1	h ɛ j	
